code;nature;nom
CPE;CPE;Contrat de performance énergétique
ETS;ETS;Opérations éligibles au système d'échange des quotas
GPE-ZNI;GPE ZNI;Zones non interconnectées au réseau métropolitain continental de transport d'électricité - Grande précarité énergétique
ZNI;ZNI;Zones non interconnectées au réseau métropolitain continental de transport d'électricité
GPE;GPE;Grande précarité énergétique
CFT;CFT;Coup de pouce Chauffage des bâtiments résidentiels collectifs et tertiaires
CRC;CRC;Coup de pouce Rénovation performante de bâtiment résidentiel collectif
CDP-ISO;CDP;Coup de pouce Isolation
CDP-CH;CDP;Coup de pouce Chauffage
CTH;CTH;Coup de pouce Thermostat avec régulation performante
CRM;CRM;Coup de pouce Rénovation performante d'une maison individuelle
TRA-SE-116;TRA-SE-116;Coup de pouce Fret ferroviaire
BAT-TH-116 ;BAT-TH-116 ;Système de gestion technique du bâtiment pour le chauffage, l'eau chaude sanitaire, le refroidissement/ climatisation, l'éclairage et les auxiliaires
TRA-SE-115;TRA-SE-115;Coup de pouce CEE Covoiturage courte distance
TRA-SE-114;TRA-SE-114;Coup de pouce CEE Covoiturage longue distance
CDP-REGUL;CDP;Coup de pouce Pilotage connecté du chauffage pièce par pièce
CDP-RENO;CRA;Coup de pouce Rénovation d'ampleur des maisons et appartements individuels
